from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
07-Apr-2020 - 00:00,,,4.48,7.7,12.17,6.55,12.81,0.3,32.73,0.44,0.13,0.38,25.95,82.36,,347.17,0.7,176.01,08-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
08-Apr-2020 - 00:00,,,4.93,7.95,12.86,5.39,12.62,0.32,27.2,0.69,0.15,0.49,26.17,78.07,,348.31,0.75,175.88,09-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
09-Apr-2020 - 00:00,,,4.34,7.94,12.2,4.65,12.69,0.32,23.93,0.28,0.17,0.52,26.09,78.29,,333.65,0.81,188.67,10-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
10-Apr-2020 - 00:00,,,2.99,7.02,9.93,5.02,13.08,0.35,26.75,0.25,0.15,0.31,26.81,79.72,,315.72,0.82,199.25,11-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Apr-2020 - 00:00,,,4.55,7.36,11.79,5.29,13.07,0.38,,0.25,0.12,0.35,27.62,78.04,,298.05,0.75,209.9,12-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Apr-2020 - 00:00,,,6.52,7.73,14.24,5.15,13.39,0.37,,0.47,0.16,0.38,27.82,82.39,,288.72,0.66,175.54,13-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Apr-2020 - 00:00,,,6.48,8.03,14.51,5.98,12.87,0.39,,0.57,0.13,0.44,27.73,82.8,,274.74,0.7,180.03,14-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Apr-2020 - 00:00,,,7.47,8.63,16.09,6.91,13.14,0.39,,0.47,0.14,0.45,28.13,79.61,,336.46,0.7,195.16,15-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Apr-2020 - 00:00,,,5.01,7.18,12.18,7.24,12.53,0.42,,,,,,,,,,,16-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Apr-2020 - 00:00,,,6.26,7.55,13.79,6.4,12.43,0.39,,,,,,,,,,,17-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Apr-2020 - 00:00,,,3.86,7.43,11.28,5.86,11.83,0.35,,0.37,0.16,0.38,28.1,80.99,,304.67,0.65,176.08,18-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Apr-2020 - 00:00,,,4.04,6.91,10.92,6.19,12.33,0.34,,0.25,0.16,0.28,28.49,77.79,,315.68,0.74,189.85,19-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Apr-2020 - 00:00,,,5.43,6.92,12.33,5.79,12.34,0.37,,0.36,0.13,0.34,28.95,76.9,,303.27,0.83,201.97,20-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Apr-2020 - 00:00,19.18,64.4,5.69,6.76,12.41,4.21,11.77,0.35,31.7,0.31,0.16,0.41,30.21,63.87,,321.73,0.83,210.39,21-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
21-Apr-2020 - 00:00,15.99,50.71,2.82,6.56,9.37,3.08,9.09,0.3,28.48,0.09,0.12,0.33,28.6,71.74,,361.79,0.71,193.3,22-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
22-Apr-2020 - 00:00,12.96,53.63,1.9,6.18,7.8,0.92,9.19,0.29,21.8,0.07,0.08,0.11,28.15,78.72,,327.98,0.77,199.91,23-Apr-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
