from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,25-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,26-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,27-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
17-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
18-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
19-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
20-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
21-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
22-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
23-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
24-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,25-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
25-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,26-Jul-2019 - 00:00,"Collector Office, Yadgir - KSPCB"
