from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
21-May-2019 - 00:00,140.05,67.02,7.97,24.54,33.85,1.27,0.0,38.29,3.8,0.01,0.68,0.36,22-May-2019 - 00:00,"Pusa, Delhi - IMD"
22-May-2019 - 00:00,138.63,42.19,7.84,21.67,30.85,1.96,19.19,29.93,2.48,0.0,0.72,0.63,23-May-2019 - 00:00,"Pusa, Delhi - IMD"
23-May-2019 - 00:00,174.89,74.41,13.78,28.3,46.29,1.64,0.0,36.73,4.16,0.0,0.6,0.82,24-May-2019 - 00:00,"Pusa, Delhi - IMD"
24-May-2019 - 00:00,89.19,32.73,6.21,17.35,25.48,0.63,,25.35,2.43,0.0,0.61,0.49,25-May-2019 - 00:00,"Pusa, Delhi - IMD"
25-May-2019 - 00:00,92.72,31.42,4.11,13.58,18.48,0.49,,41.79,1.87,0.0,0.58,0.18,26-May-2019 - 00:00,"Pusa, Delhi - IMD"
26-May-2019 - 00:00,109.03,46.62,3.93,15.63,20.3,0.56,,44.95,2.79,0.0,0.55,0.27,27-May-2019 - 00:00,"Pusa, Delhi - IMD"
27-May-2019 - 00:00,120.99,46.98,21.33,35.58,42.46,0.65,,40.05,2.32,0.0,0.62,0.57,28-May-2019 - 00:00,"Pusa, Delhi - IMD"
28-May-2019 - 00:00,126.37,50.04,60.73,65.16,88.69,0.66,,39.62,3.31,0.0,0.59,0.79,29-May-2019 - 00:00,"Pusa, Delhi - IMD"
29-May-2019 - 00:00,142.81,52.76,69.13,70.69,130.24,0.71,,37.87,3.41,0.02,0.58,0.74,30-May-2019 - 00:00,"Pusa, Delhi - IMD"
30-May-2019 - 00:00,167.57,60.37,116.49,103.81,169.95,1.05,,33.14,4.43,0.1,0.48,1.27,31-May-2019 - 00:00,"Pusa, Delhi - IMD"
31-May-2019 - 00:00,251.8,68.97,56.94,54.3,128.03,0.76,,37.96,3.12,0.03,0.28,1.5,01-Jun-2019 - 00:00,"Pusa, Delhi - IMD"
