from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
03-Jun-2019 - 00:00,12.53,9.12,3.41,46.17,145.55,4.48,04-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jun-2019 - 00:00,13.8,8.64,5.16,37.24,137.19,4.52,05-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jun-2019 - 00:00,11.97,8.63,3.34,31.86,155.63,4.56,06-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jun-2019 - 00:00,14.23,8.94,5.29,56.21,183.58,4.87,07-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jun-2019 - 00:00,18.13,8.11,10.5,51.62,165.89,4.47,08-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jun-2019 - 00:00,15.31,8.66,6.74,39.43,158.92,4.7,09-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jun-2019 - 00:00,12.09,8.75,3.35,31.3,144.22,4.94,10-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jun-2019 - 00:00,17.24,8.6,8.93,58.97,146.19,4.93,11-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jun-2019 - 00:00,26.79,12.19,15.04,79.89,140.63,4.47,12-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jun-2019 - 00:00,33.86,16.87,17.03,87.48,173.3,4.46,13-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jun-2019 - 00:00,24.09,12.69,11.4,86.09,121.14,4.28,14-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jun-2019 - 00:00,36.01,12.13,23.89,63.27,130.82,4.38,15-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jun-2019 - 00:00,15.26,11.39,3.87,16.99,81.18,5.23,16-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jun-2019 - 00:00,12.58,8.61,3.97,27.68,102.15,5.27,17-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jun-2019 - 00:00,23.52,8.97,14.55,55.12,109.93,4.8,18-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jun-2019 - 00:00,28.37,9.28,19.09,19.62,102.6,4.97,19-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jun-2019 - 00:00,17.11,10.61,6.5,40.55,79.75,5.5,20-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jun-2019 - 00:00,33.68,10.08,23.6,41.12,93.29,4.97,21-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jun-2019 - 00:00,18.76,14.3,4.46,20.21,73.42,5.58,22-Jun-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
