from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
21-Jun-2019 - 00:00,13.83,88.23,7.19,13.31,20.3,7.32,1.54,0.25,7.89,3.96,67.8,7.41,30.08,76.92,,347.85,0.93,227.69,22-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
22-Jun-2019 - 00:00,19.75,94.87,12.5,12.23,24.73,8.76,1.2,0.31,12.33,3.03,48.93,5.65,30.27,74.72,,378.17,0.97,241.01,23-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
23-Jun-2019 - 00:00,17.09,93.59,12.35,10.14,22.49,8.84,0.71,0.28,14.25,2.21,58.53,5.38,30.22,74.45,,285.3,0.89,251.08,24-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
24-Jun-2019 - 00:00,16.95,84.22,8.56,8.66,17.21,7.81,1.53,0.32,10.13,1.93,35.77,4.45,28.85,79.4,,147.06,0.92,211.43,25-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
25-Jun-2019 - 00:00,14.04,48.4,9.36,8.04,17.4,9.69,1.97,0.3,10.09,2.51,37.74,6.25,29.3,78.47,,357.75,1.1,210.36,26-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
26-Jun-2019 - 00:00,12.0,43.07,8.27,9.91,18.17,8.74,2.06,0.37,8.6,2.93,49.6,6.75,28.93,81.54,,289.84,1.24,204.65,27-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
27-Jun-2019 - 00:00,3.08,28.84,9.23,11.48,20.71,9.79,2.38,0.51,8.97,12.33,93.24,8.0,27.97,87.11,,252.86,1.22,192.63,28-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
28-Jun-2019 - 00:00,7.06,38.58,8.12,7.32,15.44,6.05,2.0,0.43,19.04,2.95,33.97,5.13,26.53,92.4,,21.43,2.13,213.17,29-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
29-Jun-2019 - 00:00,9.52,51.79,11.25,7.35,18.6,5.65,1.93,0.46,24.75,1.07,36.88,6.17,25.4,94.77,,85.4,1.84,213.0,30-Jun-2019 - 00:00,"Worli, Mumbai - MPCB"
30-Jun-2019 - 00:00,11.3,59.67,10.97,7.93,18.9,5.11,2.0,0.47,16.61,1.85,76.35,7.3,26.14,93.99,,91.85,1.59,196.13,01-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
01-Jul-2019 - 00:00,10.9,41.11,12.91,12.12,25.03,5.46,2.27,0.57,19.18,1.48,55.22,9.38,24.96,98.03,,73.8,3.27,206.1,02-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
02-Jul-2019 - 00:00,10.56,33.83,16.82,13.39,30.21,7.6,2.47,0.64,12.3,1.46,62.13,6.98,24.75,97.7,,124.12,2.26,128.05,03-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
03-Jul-2019 - 00:00,9.62,37.75,11.11,13.83,24.9,8.9,2.47,0.52,8.41,2.87,55.78,8.6,25.98,93.79,,208.31,0.8,190.23,04-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
04-Jul-2019 - 00:00,14.09,45.79,9.85,13.93,23.43,8.37,2.54,0.57,6.98,1.19,60.57,6.66,26.61,94.53,,146.59,0.81,186.78,05-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
05-Jul-2019 - 00:00,10.75,73.8,6.52,6.8,13.32,6.98,2.04,0.37,14.44,1.17,42.38,9.8,27.53,90.95,,109.06,1.85,226.91,06-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
06-Jul-2019 - 00:00,8.87,71.6,4.85,4.06,8.91,4.81,1.89,0.34,17.9,1.15,42.89,9.99,27.72,89.97,,101.32,2.3,222.65,07-Jul-2019 - 00:00,"Worli, Mumbai - MPCB"
