from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Ballygunge, Kolkata - WBPCB"
