from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
27-May-2019 - 00:00,,,,,,,,,,,,,28-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
28-May-2019 - 00:00,,,,,,,,,,,,,29-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
29-May-2019 - 00:00,,,,,,,,,,,,,30-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
30-May-2019 - 00:00,,,,,,,,,,,,,31-May-2019 - 00:00,"North Campus, DU, Delhi - IMD"
31-May-2019 - 00:00,,,,,,,,,,,,,01-Jun-2019 - 00:00,"North Campus, DU, Delhi - IMD"
01-Jun-2019 - 00:00,,,,,,,,,,,,,02-Jun-2019 - 00:00,"North Campus, DU, Delhi - IMD"
02-Jun-2019 - 00:00,,,,,,,,,,,,,03-Jun-2019 - 00:00,"North Campus, DU, Delhi - IMD"
03-Jun-2019 - 00:00,,,,,,,,,,,,,04-Jun-2019 - 00:00,"North Campus, DU, Delhi - IMD"
04-Jun-2019 - 00:00,,,,,,,,,,,,,05-Jun-2019 - 00:00,"North Campus, DU, Delhi - IMD"
05-Jun-2019 - 00:00,,,,,,,,,,,,,06-Jun-2019 - 00:00,"North Campus, DU, Delhi - IMD"
