from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
07-Apr-2018 - 00:00,0.0,120.62,750.95,134.49,283.78,35.36,27.73,11.15,0.46,0.18,44.28,48.14,1.36,29.82,569.24,,47.1,7.95,08-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Apr-2018 - 00:00,0.0,122.73,751.28,133.97,253.65,32.66,25.29,9.9,0.43,0.18,49.09,47.41,1.59,30.48,682.97,,48.26,9.38,09-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Apr-2018 - 00:00,203.13,122.48,751.88,97.27,454.85,42.5,38.45,15.93,0.55,0.14,56.34,62.48,1.33,27.67,211.53,,42.26,7.67,10-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Apr-2018 - 00:00,0.0,157.13,751.03,132.21,416.42,46.02,35.15,14.28,0.63,0.19,79.61,56.15,1.25,29.67,290.87,,63.38,12.42,11-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Apr-2018 - 00:00,0.0,101.07,750.92,116.25,267.28,33.88,26.65,10.78,0.74,0.2,64.32,61.27,1.79,27.73,454.88,,52.5,8.94,12-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Apr-2018 - 00:00,0.0,189.91,733.6,149.97,386.63,41.91,36.02,17.15,0.53,0.2,68.88,48.79,1.24,28.27,310.49,,48.36,7.75,13-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Apr-2018 - 00:00,0.0,230.86,751.03,174.83,461.86,55.48,47.64,22.67,0.76,0.24,87.55,28.51,0.89,30.24,213.61,,47.0,14.06,14-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Apr-2018 - 00:00,0.0,269.01,750.42,149.86,458.38,58.6,44.69,16.9,0.6,0.19,76.06,23.2,1.09,31.94,89.44,,51.05,12.33,15-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Apr-2018 - 00:00,0.0,261.42,750.42,141.9,595.17,70.94,63.07,31.73,0.68,-0.39,95.11,33.36,0.56,30.86,138.26,,67.97,16.99,16-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Apr-2018 - 00:00,0.0,111.07,750.34,111.1,784.74,71.47,75.5,46.85,1.14,-4.5,119.05,32.81,0.94,32.77,99.11,,79.96,21.57,17-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
