from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
24-Apr-2018 - 00:00,194.75,64.06,14.79,44.37,59.16,0.63,,43.3,25-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Apr-2018 - 00:00,235.74,96.02,15.32,42.15,57.47,0.53,,38.61,26-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Apr-2018 - 00:00,232.86,69.74,15.21,44.13,59.64,0.53,,43.9,27-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Apr-2018 - 00:00,245.24,71.8,13.98,46.3,60.25,0.56,0.0,46.56,28-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Apr-2018 - 00:00,226.4,60.18,11.55,52.67,64.24,0.57,,57.14,29-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Apr-2018 - 00:00,194.34,62.07,13.08,51.36,64.42,0.58,,59.96,30-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-Apr-2018 - 00:00,159.14,52.05,14.26,48.92,63.18,0.58,0.0,54.95,01-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-May-2018 - 00:00,119.53,36.95,11.97,50.63,62.6,0.59,,52.65,02-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-May-2018 - 00:00,146.24,37.84,12.28,50.23,62.48,0.53,1.26,52.13,03-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-May-2018 - 00:00,110.12,28.11,14.19,45.63,59.84,0.61,,44.73,04-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-May-2018 - 00:00,104.87,30.86,13.24,48.12,61.24,0.61,,49.24,05-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-May-2018 - 00:00,143.66,50.08,13.36,48.82,62.16,0.6,,52.21,06-May-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
